Datum;Zeit;Temp1;Temp2;Temp3;Temp4;Ausg1;Ausg2
17.11.19;15:26:15;26,8;41,5;14,0;14,0;0;0
17.11.19;15:31:45;26,3;41,5;14,1;14,1;0;0
17.11.19;15:42:45;26,3;41,5;14,6;14,5;0;0
17.11.19;15:44:25;25,8;41,5;14,6;14,5;0;0
17.11.19;15:45:45;25,3;41,5;14,7;14,5;0;0
17.11.19;15:47:15;24,8;41,5;14,7;14,6;0;0
17.11.19;15:48:45;24,3;41,4;14,8;14,6;0;0
17.11.19;15:50:55;23,8;41,4;14,8;14,6;0;0
17.11.19;15:53:5;23,3;41,4;14,9;14,7;0;0
17.11.19;15:54:55;22,8;41,4;15,0;14,8;0;0
17.11.19;15:56:45;22,3;41,4;15,0;14,8;0;0
17.11.19;15:58:55;21,8;41,3;15,1;14,8;0;0
17.11.19;16:0:45;21,3;41,4;15,1;15,0;0;0
17.11.19;16:2:25;20,8;41,4;15,1;15,0;0;0
17.11.19;16:4:15;20,3;41,5;15,2;15,0;0;0
17.11.19;16:6:25;19,8;41,5;15,2;15,0;0;0
17.11.19;16:8:25;19,3;41,6;15,3;15,0;0;0
17.11.19;16:10:45;18,8;41,6;15,4;15,1;0;0
17.11.19;16:13:25;18,3;41,6;15,4;15,1;0;0
17.11.19;16:16:5;17,8;41,6;15,5;15,2;0;0
17.11.19;16:19:5;17,3;41,6;15,6;15,2;0;0
17.11.19;16:22:25;16,8;41,6;15,6;15,3;0;0
17.11.19;16:26:15;16,3;41,6;15,7;15,3;0;0
17.11.19;16:31:45;15,8;41,6;15,8;15,5;0;0
17.11.19;16:36:15;15,3;41,5;16,0;15,5;0;0
17.11.19;16:41:25;14,8;41,5;16,1;15,6;0;0
17.11.19;16:47:15;14,3;41,5;16,1;15,7;0;0
17.11.19;16:51:55;13,8;41,4;16,2;15,7;0;0
17.11.19;16:57:55;13,3;41,4;16,3;15,8;0;0
17.11.19;17:4:15;12,8;41,3;16,3;16,0;0;0
17.11.19;17:13:15;12,3;41,3;16,5;16,0;0;0
17.11.19;17:24:5;11,8;41,3;16,7;16,1;0;0
17.11.19;17:35:55;11,3;41,1;16,8;16,2;0;0
17.11.19;17:51:15;10,8;41,0;16,9;16,3;0;0
17.11.19;18:15:35;10,3;41,0;17,1;16,5;0;0
17.11.19;18:47:15;9,8;40,8;17,3;16,6;0;0
17.11.19;19:23:25;10,3;40,7;17,4;16,7;0;0
20.11.19;11:00:23;17,0;37,5;14,3;13,1;0;0
20.11.19;11:03:53;17,5;37,5;14,3;13,3;0;0
20.11.19;11:07:03;17,8;37,5;14,4;12,7;0;0
20.11.19;11:07:13;17,9;37,5;14,4;12,1;0;0
20.11.19;11:07:23;17,9;37,5;14,0;11,1;0;0
20.11.19;11:07:33;18,0;37,5;13,4;10,5;0;0
20.11.19;11:07:43;18,0;37,5;12,7;10,1;0;0
20.11.19;11:07:53;18,0;37,5;11,8;9,6;0;0
20.11.19;11:08:03;18,1;37,5;11,1;9,4;0;0
20.11.19;11:08:13;18,1;37,5;10,5;9,1;0;0
20.11.19;11:08:23;18,1;37,5;9,9;9,0;0;0
20.11.19;11:08:33;18,2;37,5;9,3;8,8;0;0
20.11.19;11:08:43;18,3;37,5;8,8;8,6;0;0
